ResponseId,LanguageHaveWorkedWith
34793,C#;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL;VBA
42648,JavaScript;PHP;Swift;TypeScript
43575,Bash/Shell;C;C#
49875,APL;Assembly;Bash/Shell;C#;C++;Clojure;COBOL;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;Go;Groovy;Haskell;Java;JavaScript;Julia;Kotlin;LISP;Lua;MATLAB;OCaml;Objective-C;Perl;PHP
42189,C;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;SQL;TypeScript
55638,Dart;HTML/CSS;JavaScript;PowerShell
47226,C#;HTML/CSS;JavaScript;SQL;TypeScript
22386,Dart;HTML/CSS;JavaScript;MATLAB;PHP
38010,Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python
15695,C;Python;Rust
10982,C#;HTML/CSS;JavaScript;PHP;SQL
69016,HTML/CSS;JavaScript;SQL;TypeScript
25281,C#;SQL;TypeScript
18950,COBOL;Crystal
69316,
26281,APL;Bash/Shell;Delphi;F#;Fortran;Go;Groovy;HTML/CSS;Java;LISP;Perl;PowerShell;Ruby
25707,APL;Assembly;Bash/Shell;C++;JavaScript;LISP;Lua
71701,Go;Groovy;HTML/CSS;Java;JavaScript;SQL
51700,Java;JavaScript;PowerShell
45515,Bash/Shell;C#;C++;Java;SQL
2732,Go;Rust
40769,C#;HTML/CSS;JavaScript;PowerShell;SQL
45763,Assembly;C;COBOL;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript
13909,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Lua;SQL;TypeScript
2958,Bash/Shell;C;HTML/CSS;JavaScript;Python;SQL
16481,HTML/CSS;JavaScript;PowerShell
18732,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;SQL
37283,C;HTML/CSS;JavaScript;PHP;SQL
31419,HTML/CSS;JavaScript;SQL;TypeScript
38632,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL
37732,Groovy;Java;JavaScript;Kotlin;TypeScript
71852,Bash/Shell;C#;JavaScript;PHP;SQL
16019,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
31814,HTML/CSS;Java;JavaScript;Python;SQL
50456,HTML/CSS;Java;JavaScript;Kotlin
12108,HTML/CSS;JavaScript;TypeScript
54214,Bash/Shell;Python;R;SQL
57213,HTML/CSS;JavaScript;Python;Ruby;SQL
15532,C#;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript
27295,Bash/Shell;C;Groovy;HTML/CSS;Java;JavaScript;SQL
31207,C++;Delphi;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
55788,C#;JavaScript
36968,C#;SQL
65750,Assembly;Bash/Shell;C#;Java;JavaScript;Python;Solidity
44927,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;R;SQL
27536,Bash/Shell;HTML/CSS;JavaScript;Python;Ruby
14864,Assembly;C#;C++;JavaScript;PHP;SQL;TypeScript;VBA
71276,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python
45663,HTML/CSS;JavaScript
15822,C#;C++;Delphi;HTML/CSS;Java;JavaScript;MATLAB;PHP;SQL;VBA
36794,Bash/Shell;Dart;Groovy;HTML/CSS;Java;JavaScript;SQL
41021,HTML/CSS;Java;JavaScript;Kotlin
72063,Bash/Shell;JavaScript;PHP;Rust;TypeScript
64685,HTML/CSS;JavaScript;Python;TypeScript
59093,C#;HTML/CSS;SQL;VBA
12646,HTML/CSS;JavaScript;TypeScript
44786,C#;Delphi;PowerShell;SQL
45561,C;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript
43924,C;COBOL;Fortran;HTML/CSS;JavaScript;SQL
58789,Bash/Shell;Java;JavaScript
60700,Python;SQL
69629,
30969,JavaScript;Kotlin;SQL;TypeScript
65632,C#;HTML/CSS;Java;JavaScript;SQL
13396,Go;Java;JavaScript;TypeScript
47259,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript
10002,Go;Java;JavaScript;TypeScript
51468,HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Rust;Swift;TypeScript
17742,Bash/Shell;Java;JavaScript;Python
62067,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript
21085,Python;SQL
59676,Go;JavaScript
60877,JavaScript;TypeScript
46569,C#;HTML/CSS;JavaScript;SQL;TypeScript
44514,HTML/CSS;JavaScript;Ruby;SQL
13026,Java;SQL
49716,C++;Dart;HTML/CSS;JavaScript;Perl;PHP;SQL
55377,C;HTML/CSS;Java;JavaScript;PHP;SQL
11723,Go;HTML/CSS;JavaScript;PHP;TypeScript
70586,Delphi
48954,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
966,HTML/CSS;JavaScript;PHP;SQL;TypeScript
37056,Bash/Shell;C;Python
44656,Bash/Shell;Java;Python;SQL
61700,Bash/Shell;C#;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript;VBA
72146,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
25002,C#;Java;JavaScript;Python
49427,HTML/CSS;PHP
50168,Python
46728,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
27425,Bash/Shell;HTML/CSS;JavaScript;Python
47224,Bash/Shell;JavaScript;PHP
13202,Bash/Shell;Python;SQL
37629,Go;HTML/CSS;JavaScript;PHP;Python;SQL
37350,JavaScript;TypeScript
41743,HTML/CSS;JavaScript
44866,Fortran;Julia;Python
37811,C#;Python;R;SQL;VBA
68497,C#;HTML/CSS;JavaScript;Solidity
40952,C++;HTML/CSS;JavaScript;Python;SQL
44512,JavaScript
36743,Dart;Groovy;Java;JavaScript;Kotlin;Python;Rust
51246,HTML/CSS;JavaScript;PHP;SQL
20773,HTML/CSS;JavaScript;TypeScript
47147,C++;Java;Kotlin;PHP;SQL
58155,C#;HTML/CSS;Java;JavaScript;Python;SQL;Swift;TypeScript
5985,C#;Go;Groovy;HTML/CSS;Java;JavaScript;Solidity;TypeScript
38220,HTML/CSS;PHP;SQL
38861,C#;Fortran;HTML/CSS;JavaScript;SQL;TypeScript;VBA
55789,HTML/CSS;JavaScript;Python
29989,Go;Java
45508,C++;HTML/CSS;JavaScript;SQL;TypeScript
21712,C#;Java;Kotlin;Lua;Python
51756,HTML/CSS;JavaScript;TypeScript
22821,Bash/Shell;Go;JavaScript;Python;Rust;SQL;TypeScript
61200,Go;JavaScript;PHP;Python;SQL;TypeScript
6305,Java
9817,HTML/CSS;JavaScript;Python;SQL
20929,PHP
40025,JavaScript;PHP;SQL
12932,Go;HTML/CSS;Java;JavaScript;PHP;Scala;TypeScript
72391,C#;JavaScript;SQL
38290,Bash/Shell;C++;Fortran;Java;Python
15678,C;Fortran;Julia
46742,Bash/Shell;HTML/CSS;JavaScript;PHP;PowerShell;SQL
3044,C#;HTML/CSS;JavaScript;SQL
20332,Bash/Shell;HTML/CSS;Java
12814,Java;JavaScript;PHP;Python;Rust;SQL;TypeScript
36686,HTML/CSS;JavaScript;TypeScript
46227,Java;SQL
9765,C#;PowerShell;Python
40201,Java;PHP;VBA
44995,Bash/Shell;C++;HTML/CSS;JavaScript;PHP;SQL
15356,Bash/Shell;JavaScript;PHP;Rust
46779,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;TypeScript
47255,C#;HTML/CSS;JavaScript;SQL
22168,Scala
45100,Groovy;HTML/CSS;Java;JavaScript;SQL
30804,C#;HTML/CSS;JavaScript;PowerShell;SQL
13320,Python
47706,Java;Python
37012,Fortran;Python;R
65932,HTML/CSS;JavaScript;SQL;TypeScript
37899,HTML/CSS;JavaScript
58515,JavaScript;TypeScript
53726,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;TypeScript
47331,Python;SQL
72626,Bash/Shell;C;Elixir;Go;HTML/CSS;JavaScript;Kotlin;PHP;Ruby;SQL
545,C#;C++
41244,JavaScript
70401,Dart;HTML/CSS;JavaScript;Lua;Perl;Python;SQL
21593,Assembly;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL
15471,Bash/Shell;C#;Elixir;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript
25469,C#;Haskell;HTML/CSS;JavaScript;MATLAB;Objective-C;PHP;PowerShell;Python;SQL;TypeScript
50575,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;VBA
46102,Haskell;HTML/CSS;JavaScript
51634,COBOL;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL
45414,Java;JavaScript;Ruby
10131,HTML/CSS;JavaScript;PHP;SQL
58961,C;Delphi;HTML/CSS;PHP
10766,R
46529,C#;JavaScript;SQL
45256,HTML/CSS;JavaScript;VBA
13390,C#;PowerShell
56298,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
21255,HTML/CSS;JavaScript
39360,JavaScript;TypeScript
50329,JavaScript;PHP;Python;SQL
46756,JavaScript;TypeScript
45433,C#;HTML/CSS;SQL
49828,JavaScript;PHP;Solidity;SQL;TypeScript
27858,HTML/CSS;JavaScript;PHP;SQL
59686,HTML/CSS;JavaScript
39564,C#;Java;JavaScript;Python;SQL;TypeScript
50185,HTML/CSS;JavaScript;Ruby;TypeScript
51869,Bash/Shell;Ruby
64215,HTML/CSS;Java;JavaScript;Python;SQL
47217,HTML/CSS;JavaScript;Python
73131,HTML/CSS;JavaScript;PHP;Python;SQL
10505,JavaScript;SQL
71359,Go;JavaScript;Rust;Solidity;TypeScript
37212,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
37307,C#;HTML/CSS;JavaScript;SQL;TypeScript
51621,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;TypeScript
44578,C#;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript
59938,JavaScript;Ruby;SQL
15697,Assembly;Bash/Shell;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;TypeScript
37853,Assembly;Bash/Shell;C;C#;C++;Dart;Delphi;Elixir;Go;Haskell;HTML/CSS;Java;JavaScript;PHP;Ruby;Scala;Solidity;SQL;TypeScript
13648,JavaScript;PHP;Python;SQL;TypeScript
71620,JavaScript;Rust;TypeScript
49728,JavaScript;Python;TypeScript
40282,PHP
72191,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Solidity;SQL;Swift;TypeScript;VBA
36647,Assembly;Bash/Shell;C++;Java;JavaScript;PHP
59660,Bash/Shell;HTML/CSS;JavaScript;TypeScript
46292,HTML/CSS;JavaScript;SQL
51993,C#;HTML/CSS;JavaScript;Objective-C;Python;SQL;TypeScript
19740,Bash/Shell;Go;JavaScript;Python;SQL;TypeScript
63570,Go
31990,APL
61687,C#;HTML/CSS;JavaScript;PHP
53871,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript
39103,C#;Groovy;JavaScript
37735,HTML/CSS;JavaScript;PHP;SQL
39166,HTML/CSS;JavaScript;PHP;TypeScript
64127,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;TypeScript
16456,
36614,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Objective-C;Ruby;Rust
66324,Python;Swift
14787,Dart;JavaScript;Kotlin;Swift
60715,HTML/CSS;JavaScript;SQL;TypeScript
59754,HTML/CSS;JavaScript;PowerShell;TypeScript
44517,Kotlin
68412,HTML/CSS;Python;R
44250,Crystal;Elixir;Haskell;Ruby
54304,Bash/Shell;Java;JavaScript;Kotlin
54012,Bash/Shell;Go;Java;Kotlin;Python;Rust;SQL;Swift
1520,HTML/CSS;Python;SQL
45177,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
50302,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL
38276,C#;SQL;TypeScript;VBA
20536,Go;HTML/CSS;JavaScript;Ruby;Solidity;SQL
50230,Groovy;Python
19946,C#;Dart;HTML/CSS;JavaScript;Kotlin;SQL;Swift;TypeScript
36423,JavaScript;SQL;TypeScript
55119,Bash/Shell;Python
8514,Dart;JavaScript;PHP;TypeScript
3491,Bash/Shell;C#;Go;HTML/CSS;JavaScript;PHP;Python;SQL
44649,Bash/Shell;C++;Go;Java;PowerShell;Python;SQL
72012,HTML/CSS;Java;JavaScript;Ruby;TypeScript
45221,Java;Kotlin
12683,HTML/CSS;JavaScript;SQL;TypeScript
31469,C++;Delphi
64721,PowerShell;SQL
20293,HTML/CSS;Java;JavaScript;Python
46758,HTML/CSS;JavaScript;SQL;TypeScript
46424,Bash/Shell;HTML/CSS;PHP;Python;SQL
50558,Python
61906,HTML/CSS;TypeScript
49971,HTML/CSS;JavaScript;TypeScript
45342,HTML/CSS;JavaScript;Python
50636,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
21956,Elixir;Erlang;HTML/CSS;JavaScript;TypeScript
46511,C;C#;C++;Haskell;HTML/CSS;JavaScript;PowerShell;R;SQL;TypeScript
41132,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript
21636,JavaScript;Ruby;Rust;TypeScript
45428,C;C#;Crystal;HTML/CSS;Java;JavaScript;PowerShell;SQL;VBA
19863,HTML/CSS;TypeScript
54422,Java;JavaScript;Kotlin;Perl
46003,Java;JavaScript
72025,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
27690,HTML/CSS;JavaScript;TypeScript
45462,C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;Julia;OCaml;Python;SQL
39059,Bash/Shell;HTML/CSS;JavaScript;Python
46878,C#;HTML/CSS;JavaScript;SQL
51368,C++;HTML/CSS;Java;JavaScript;PHP;SQL
53518,Java;JavaScript;Python;TypeScript
73159,HTML/CSS;JavaScript
46547,Java
50382,Bash/Shell;HTML/CSS;Java;SQL;TypeScript
53884,JavaScript;Julia;TypeScript
56294,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL
21458,Delphi;Java;JavaScript;SQL
47341,Bash/Shell;C;C++;Python
45534,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
59300,C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
68227,C#
25801,HTML/CSS;JavaScript;Ruby;TypeScript
21583,Bash/Shell;C;C++
38932,Bash/Shell;C;C#;C++;Delphi;Go;HTML/CSS;JavaScript;PHP;SQL
68056,HTML/CSS;JavaScript;PHP;SQL
49272,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
65856,Bash/Shell;HTML/CSS;JavaScript;Lua;PHP;Python;SQL;TypeScript
64475,SQL
46552,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
40156,Elixir;HTML/CSS;JavaScript;Kotlin
12776,Bash/Shell;C++;JavaScript;PHP;PowerShell;Python;SQL
39828,HTML/CSS;JavaScript;PHP;SQL
53555,C#;HTML/CSS;JavaScript;SQL
46631,C#;HTML/CSS;JavaScript;SQL;TypeScript
46546,C#
44778,Java;JavaScript;Kotlin;SQL;TypeScript;VBA
40017,HTML/CSS;PHP
20555,C#;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL
54006,Bash/Shell;HTML/CSS;Java;JavaScript;TypeScript
63519,Java
60903,HTML/CSS;JavaScript;TypeScript
64699,HTML/CSS;JavaScript;TypeScript
9848,JavaScript;TypeScript
58702,JavaScript;Python;SQL
50094,HTML/CSS;JavaScript;PHP;Ruby;SQL
9130,Python
71816,Java;Python;SQL
24563,HTML/CSS;JavaScript;Lua;PHP;SQL
58314,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;SQL
2169,C#;JavaScript;SQL
20377,TypeScript
66917,Delphi;PHP;SQL
22778,Java;JavaScript
68583,C;HTML/CSS;Java;SQL
31953,
45398,Dart
30843,COBOL;SQL
1540,HTML/CSS;JavaScript
39622,HTML/CSS
39700,C;C#;C++;COBOL;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL
54531,
55738,APL;JavaScript;PHP
26657,Swift
2876,HTML/CSS
45971,HTML/CSS;JavaScript
38579,HTML/CSS;JavaScript
73141,
72982,HTML/CSS;JavaScript
65974,
55404,JavaScript;Swift
59621,HTML/CSS;JavaScript
68044,C#;Dart;JavaScript;SQL
29393,C#
19086,Go;Python
15681,C;HTML/CSS;TypeScript
68666,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript
55608,Bash/Shell;Fortran;Python
30099,HTML/CSS;JavaScript;Python;TypeScript
2238,Assembly;Bash/Shell;C++;Lua;PHP;Python;Rust;TypeScript
37162,C#;Haskell;JavaScript;Python;SQL
30450,Java;JavaScript;Kotlin
27570,Java;Kotlin
37639,C;JavaScript;Python;Swift
38379,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;LISP;PHP;Python;SQL;TypeScript
1313,Bash/Shell;C;C++;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL
47348,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA
49542,C#;Dart;Go;HTML/CSS;Java;JavaScript
44609,C++;HTML/CSS;Java;JavaScript;Python;SQL
53922,Java;JavaScript;SQL;TypeScript
39872,C#
9186,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL
25587,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Python
22439,C;HTML/CSS;Java;JavaScript;PHP;PowerShell;Ruby;SAS;SQL;TypeScript
64439,Go;Java;JavaScript;Kotlin;Python;Ruby;Scala
47389,Python;SQL
47507,HTML/CSS;Java;JavaScript;SQL;TypeScript
38387,HTML/CSS;JavaScript;MATLAB;Python;SQL
27395,C#;JavaScript;TypeScript
67678,HTML/CSS;JavaScript;PHP;SQL
36793,JavaScript
49458,JavaScript;Kotlin
2807,Bash/Shell;C;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript
46476,C#;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Ruby;SQL;TypeScript
36665,C#;Java;SQL;VBA
14443,Bash/Shell;C++;Haskell;HTML/CSS;Java;JavaScript;Python;R
37625,C#;COBOL;HTML/CSS
